Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
27-02-2020,TCS,2123.6,2119.95,2119.95,2086.2,2097.0,2105.5,2101.98,2349001.0,493755000000000.0,112336.0,1244106.0,0.5296
28-02-2020,TCS,2105.5,2068.0,,1990.0,2010.0,2000.15,,,,229475.0,2304792.0,0.5362
02-03-2020,TCS,2000.15,2035.0,2053.95,1985.7,2000.0,,2035.99,2667076.0,543013000000000.0,118184.0,,0.4664
03-03-2020,TCS,2001.3,2020.0,2060.0,2012.0,,2036.2,2033.79,2757585.0,560834000000000.0,139234.0,1397749.0,0.5069
04-03-2020,TCS,2036.2,2056.0,2094.45,2025.0,2082.1,2083.2,2059.4,3237002.0,666628000000000.0,131156.0,1497508.0,0.4626
05-03-2020,TCS,2083.2,2085.7,2147.75,2084.05,,2125.05,2121.54,3937056.0,835262000000000.0,193693.0,2287407.0,0.581
06-03-2020,TCS,2125.05,2098.0,2123.65,,2115.4,2116.45,2097.98,2595027.0,544431000000000.0,130651.0,1250756.0,0.482
09-03-2020,TCS,2116.45,2075.0,2079.9,1935.0,1981.0,1972.35,1989.28,4940982.0,982901000000000.0,227592.0,2739821.0,0.5545
11-03-2020,TCS,1972.35,1933.0,1987.3,1920.0,,1953.7,1959.39,6796752.0,1331750000000000.0,213057.0,4563612.0,
12-03-2020,TCS,1953.7,1904.0,1908.4,1758.35,1772.9,1769.85,1815.1,8728972.0,1584400000000000.0,252037.0,5822556.0,0.667
13-03-2020,TCS,1769.85,1687.9,1820.0,1506.05,1820.0,,1736.57,8029725.0,1394420000000000.0,280631.0,4008094.0,0.4992
16-03-2020,TCS,1806.3,1755.0,1842.25,1675.85,1684.5,1696.4,1760.08,7844420.0,1380680000000000.0,380004.0,4974137.0,0.6341
17-03-2020,TCS,1696.4,1730.0,1731.0,,1632.0,1658.0,1687.98,5713269.0,964391000000000.0,224133.0,3892439.0,0.6813
,TCS,,1676.8,1713.55,1627.75,1670.0,1654.4,1667.41,7259111.0,1210390000000000.0,276794.0,4565294.0,0.6289
19-03-2020,TCS,1654.4,1559.7,1685.45,1546.75,1636.0,1636.35,1622.31,5135162.0,833084000000000.0,248319.0,2515229.0,0.4898
20-03-2020,TCS,1636.35,1630.0,1869.0,1627.0,1792.95,1797.45,1787.53,8547645.0,1527910000000000.0,361688.0,3868118.0,0.4525
23-03-2020,TCS,1797.45,1620.0,,1617.75,1631.0,1669.7,1687.63,7003558.0,1181940000000000.0,190709.0,4237215.0,0.605
,TCS,1669.7,1653.05,1770.0,1632.85,1699.95,1703.15,,6354209.0,1090980000000000.0,309791.0,3520631.0,0.5541
25-03-2020,TCS,1703.15,1700.0,1810.0,1680.0,1732.0,1750.3,1735.21,2765527.0,479877000000000.0,200205.0,1152908.0,
26-03-2020,TCS,1750.3,1831.6,1832.05,1722.55,1785.0,1790.95,1783.59,4556071.0,812617000000000.0,251428.0,2650292.0,0.5817
27-03-2020,TCS,1790.95,1820.0,1850.0,1750.4,1850.0,1824.5,1796.8,4331310.0,778251000000000.0,217336.0,2319309.0,0.5355
30-03-2020,TCS,1824.5,,1905.0,1763.55,1781.7,1778.5,,8513608.0,1543910000000000.0,277606.0,5214886.0,0.6125
31-03-2020,TCS,1778.5,1837.4,1855.0,1780.0,,1826.1,1824.45,3927593.0,716571000000000.0,190774.0,1752624.0,0.4462
01-04-2020,TCS,1826.1,1825.9,1834.75,,1714.0,1708.75,1763.66,,871581000000000.0,221364.0,2619484.0,0.5301
03-04-2020,TCS,1708.75,1740.0,1740.0,1650.0,1659.0,1654.2,1688.3,5735529.0,968332000000000.0,244588.0,2453808.0,0.4278
07-04-2020,TCS,1654.2,1710.0,1785.85,1705.0,1765.85,1775.2,1747.2,5427965.0,,232534.0,3020094.0,0.5564
08-04-2020,TCS,1775.2,1760.0,1806.0,1701.0,1708.0,1705.45,1736.76,,1091660000000000.0,276600.0,2533692.0,0.4031
09-04-2020,TCS,1705.45,1750.45,1778.8,1731.2,1761.0,1766.15,1759.13,5307649.0,933687000000000.0,184889.0,2682616.0,0.5054
13-04-2020,TCS,1766.15,,1787.0,,1761.6,1759.25,1761.05,2990478.0,526638000000000.0,,1242289.0,0.4154
15-04-2020,TCS,1759.25,1785.0,1812.0,1727.8,1735.0,,1774.09,,844718000000000.0,196087.0,2136320.0,0.4487
,TCS,1735.15,1709.95,1764.9,1675.05,1720.5,1716.05,,6245583.0,1074580000000000.0,284814.0,2110034.0,0.3378
17-04-2020,TCS,1716.05,1800.0,1851.95,1753.0,1810.0,1806.2,,9895825.0,1796400000000000.0,363192.0,3217550.0,0.3251
20-04-2020,TCS,1806.2,1830.0,1830.0,1802.5,1818.6,1818.65,1815.63,3244293.0,589044000000000.0,136285.0,,0.4339
21-04-2020,TCS,1818.65,1765.0,1794.6,1727.7,,1737.65,1749.84,5122606.0,896374000000000.0,190349.0,2457408.0,0.4797
22-04-2020,TCS,1737.65,1737.65,1790.0,1719.15,,1769.5,1754.72,3829839.0,672028000000000.0,180947.0,1518445.0,0.3965
23-04-2020,TCS,,1780.0,1900.0,1760.85,,1878.25,1844.03,,1094320000000000.0,257398.0,2087199.0,0.3517
,TCS,1878.25,1840.7,1851.95,1807.8,1821.0,1818.55,1825.54,2987150.0,545317000000000.0,142967.0,1103567.0,0.3694
27-04-2020,TCS,1818.55,1832.3,1875.0,1825.0,1834.0,1836.6,1853.6,3374747.0,625542000000000.0,140822.0,1333349.0,0.3951
28-04-2020,TCS,1836.6,1865.0,1868.0,1832.6,1865.0,1859.05,1851.06,2678512.0,495810000000000.0,117278.0,1119539.0,0.418
29-04-2020,TCS,1859.05,1874.0,1912.55,1850.05,,1905.65,1882.9,4241579.0,798649000000000.0,158389.0,1705279.0,0.402
30-04-2020,TCS,1905.65,1980.0,2032.0,1942.2,2019.55,2014.45,,5915950.0,1176970000000000.0,241064.0,2636626.0,0.4457
04-05-2020,TCS,2014.45,1966.0,1966.0,1913.65,1930.5,,1939.3,3729409.0,723244000000000.0,165528.0,1752041.0,
,TCS,1930.45,1955.1,1977.0,1927.0,1932.75,1932.75,1952.86,2905541.0,567412000000000.0,147469.0,1095381.0,0.377
06-05-2020,TCS,1932.75,1939.8,,1893.6,1908.5,1903.6,1920.77,3517432.0,675618000000000.0,172517.0,1154410.0,0.3282
07-05-2020,TCS,1903.6,1910.0,1934.45,1883.35,1895.95,1891.65,1909.43,3166784.0,604677000000000.0,154795.0,941078.0,0.2972
08-05-2020,TCS,1891.65,1939.1,1939.5,1886.25,1897.0,1893.4,1902.14,2686536.0,511017000000000.0,122431.0,858746.0,0.3196
11-05-2020,TCS,1893.4,1909.0,1951.4,1909.0,1936.0,1935.3,1939.47,2449846.0,,120116.0,738177.0,0.3013
12-05-2020,TCS,1935.3,1933.4,1956.5,1910.25,1948.0,,,3256630.0,632187000000000.0,177881.0,992103.0,0.3046
13-05-2020,TCS,1949.5,,1994.0,1925.65,1944.5,1949.65,1946.67,2656665.0,517165000000000.0,127103.0,938030.0,0.3531
14-05-2020,TCS,1949.65,1910.0,1923.1,1891.1,1902.0,1902.35,1905.48,2263204.0,431248000000000.0,111897.0,931246.0,0.4115
15-05-2020,TCS,1902.35,1916.0,1917.4,1865.2,1903.0,1892.9,1884.25,3173682.0,598000000000000.0,157447.0,1312065.0,0.4134
18-05-2020,TCS,1892.9,1907.0,1952.95,1872.1,1940.05,1945.6,1921.1,3727896.0,716167000000000.0,158352.0,1140903.0,0.306
19-05-2020,TCS,1945.6,1903.0,1966.45,1903.0,1948.1,1948.65,1945.9,3198699.0,,148060.0,1142215.0,0.3571
,TCS,1948.65,1950.0,1962.9,1931.7,1953.55,1953.6,1946.92,2778505.0,540951000000000.0,130438.0,1398276.0,0.5032
21-05-2020,TCS,1953.6,1946.0,1998.0,1941.15,1990.1,1991.2,1977.64,3400925.0,672580000000000.0,125723.0,1818084.0,0.5346
22-05-2020,TCS,1991.2,1977.1,2032.0,1961.25,2015.15,2020.35,,3663422.0,734559000000000.0,129277.0,1423498.0,0.3886
26-05-2020,TCS,2020.35,2015.0,,1925.0,1948.95,1943.0,1969.21,4575512.0,901014000000000.0,170636.0,2223882.0,
27-05-2020,TCS,1943.0,1959.0,2010.0,1941.25,2008.0,2005.3,1975.64,3482185.0,687954000000000.0,131846.0,,0.3373
28-05-2020,TCS,2005.3,1988.5,2014.0,1971.3,2006.25,2004.3,1988.53,3475788.0,691172000000000.0,149827.0,1346787.0,0.3875
